No.,VIN,stock_num,year,make,model,trim,odometer,color exterior,color interior,sale price,url,first date seen,last date seen,days in stock,
28,5YJ3E1EA5NF186701,L186701,2022,Tesla,Model 3,Rwd,"91,808",Red Multi-coat,Black,"$20,989.00",https://evauto.com/vehicle/used-2022-tesla-model-3-rwd-5yj3e1ea5nf186701/,09/09/2026,,1,
29,7SAYGDEE3RA224131,L224131,2024,Tesla,Model Y,Long Range,"17,000",Deep Blue Metallic,Black,"$40,998.00",https://evauto.com/vehicle/used-2024-tesla-model-y-long-range-7saygdee3ra224131/,09/09/2026,,1,
30,5YJ3E1EB4MF034870,T034870,2021,Tesla,Model 3,Long Range,"99,984",Gray,Black,"$24,489.00",https://evauto.com/vehicle/used-2021-tesla-model-3-long-range-5yj3e1eb4mf034870/,09/09/2026,,1,
31,5YJ3E1EB7PF634691,T634691,2023,Tesla,Model 3,Long Range,"100,000",Gray,Black,"$25,488.00",https://evauto.com/vehicle/used-2023-tesla-model-3-long-range-5yj3e1eb7pf634691/,09/09/2026,,1,
32,7SAYGDEF5PF785262,B785262,2023,Tesla,Model Y,Performance,"57,837",Pearl White Multi-coat,White,"$34,399.00",https://evauto.com/vehicle/used-2023-tesla-model-y-performance-7saygdef5pf785262/,09/09/2026,,1,
33,5YJ3E1EAXMF852174,T852174,2021,Tesla,Model 3,Standard Range Plus,"54,325",Deep Blue Metallic,White,"$24,999.00",https://evauto.com/vehicle/used-2021-tesla-model-3-standard-range-plus-5yj3e1eaxmf852174/,09/09/2026,,1,
34,7SAYGDED5RF095965,L095965,2024,Tesla,Model Y,Rwd,"44,553",Solid Black,Black,"$34,489.00",https://evauto.com/vehicle/used-2024-tesla-model-y-rwd-7saygded5rf095965/,09/09/2026,,1,
35,5YJXCAE24LF233178,B233178A,2020,Tesla,Model X,Long Range Plus,"62,318",Pearl White Multi-coat,Black,"$41,399.00",https://evauto.com/vehicle/used-2020-tesla-model-x-long-range-plus-5yjxcae24lf233178/,09/09/2026,,1,
36,7SAYGDEF2PF826348,L826348,2023,Tesla,Model Y,Performance,"101,255",Gray,Black,"$28,399.00",https://evauto.com/vehicle/used-2023-tesla-model-y-performance-7saygdef2pf826348/,09/09/2026,,1,
37,5YJSA1E60MF431051,B431051,2021,Tesla,Model S,Plaid,"82,939",Deep Blue Metallic,Black,"$53,999.00",https://evauto.com/vehicle/used-2021-tesla-model-s-plaid-5yjsa1e60mf431051/,09/09/2026,,1,
