vin,stock_num,year,make,model,trim,odometer,color_exterior,color_interior,sale_price,url,first_date_seen,last_date_seen,days_in_stock,days_in_stock
5YJ3E1EA5NF186701,L186701,2022,Tesla,Model 3,Rwd,91808,Red Multi-coat,Black,20989,https://evauto.com/vehicle/used-2022-tesla-model-3-rwd-5yj3e1ea5nf186701/,09/09/2026,09/14/2026,5,5
7SAYGDEE3RA224131,L224131,2024,Tesla,Model Y,Long Range,17000,Deep Blue Metallic,Black,40998,https://evauto.com/vehicle/used-2024-tesla-model-y-long-range-7saygdee3ra224131/,09/09/2026,09/14/2026,5,5
5YJ3E1EB4MF034870,T034870,2021,Tesla,Model 3,Long Range,99984,Gray,Black,24489,https://www.evauto.com/vehicle/used-2021-tesla-model-3-long-range-5yj3e1eb4mf034870/,09/09/2026,Available,5,5
5YJ3E1EB7PF634691,T634691,2023,Tesla,Model 3,Long Range,100000,Gray,Black,25488,https://www.evauto.com/vehicle/used-2023-tesla-model-3-long-range-5yj3e1eb7pf634691/,09/09/2026,Available,5,5
7SAYGDEF5PF785262,B785262,2023,Tesla,Model Y,Performance,57837,Pearl White Multi-coat,White,34399,https://evauto.com/vehicle/used-2023-tesla-model-y-performance-7saygdef5pf785262/,09/09/2026,09/14/2026,5,5
5YJ3E1EAXMF852174,T852174,2021,Tesla,Model 3,Standard Range Plus,54325,Deep Blue Metallic,White,24749,https://www.evauto.com/vehicle/used-2021-tesla-model-3-standard-range-plus-5yj3e1eaxmf852174/,09/09/2026,Available,5,5
7SAYGDED5RF095965,L095965,2024,Tesla,Model Y,Rwd,44553,Solid Black,Black,34489,https://www.evauto.com/vehicle/used-2024-tesla-model-y-base-7saygded5rf095965/,09/09/2026,Available,5,5
5YJXCAE24LF233178,B233178A,2020,Tesla,Model X,Long Range Plus,62318,Pearl White Multi-coat,Black,41399,https://evauto.com/vehicle/used-2020-tesla-model-x-long-range-plus-5yjxcae24lf233178/,09/09/2026,09/14/2026,5,5
7SAYGDEF2PF826348,L826348,2023,Tesla,Model Y,Performance,101255,Gray,Black,28399,https://www.evauto.com/vehicle/used-2023-tesla-model-y-performance-7saygdef2pf826348/,09/09/2026,Available,5,5
5YJSA1E60MF431051,B431051,2021,Tesla,Model S,Plaid,82939,Deep Blue Metallic,Black,53489,https://www.evauto.com/vehicle/used-2021-tesla-model-s-plaid-5yjsa1e60mf431051/,09/09/2026,Available,5,5
7SAXCBE68PF375325,B375325,2023,Tesla,Model X,Plaid,52219,Pearl White Multi-coat,Black,70189,https://www.evauto.com/vehicle/used-2023-tesla-model-x-plaid-7saxcbe68pf375325/,09/09/2026,Available,5,5
5YJ3E1EA8PF426083,T426083,2023,Tesla,Model 3,Rwd,31501,Red Multi-coat,Black,29489,https://www.evauto.com/vehicle/used-2023-tesla-model-3-rwd-5yj3e1ea8pf426083/,09/09/2026,Available,5,5
7SAYGAEE0PF682868,B682868,2023,Tesla,Model Y,Long Range,44408,Pearl White Multi-coat,Black,35489,https://evauto.com/vehicle/used-2023-tesla-model-y-long-range-7saygaee0pf682868/,09/09/2026,09/14/2026,5,5
7SAYGAEE0PF633718,T633718,2023,Tesla,Model Y,Long Range,49512,Deep Blue Metallic,Black,34489,https://www.evauto.com/vehicle/used-2023-tesla-model-y-long-range-7saygaee0pf633718/,09/09/2026,Available,5,5
5YJYGDEE4MF108672,T108672,2021,Tesla,Model Y,Long Range,72176,Gray,White,29489,https://www.evauto.com/vehicle/used-2021-tesla-model-y-long-range-5yjygdee4mf108672/,09/09/2026,Available,5,5
7SAYGDEF4NF373007,T373007,2022,Tesla,Model Y,Performance,35957,Red Multi-coat,Black,34749,https://www.evauto.com/vehicle/used-2022-tesla-model-y-performance-7saygdef4nf373007/,09/09/2026,Available,5,5
5YJ3E1EB6MF066803,L066803,2021,Tesla,Model 3,Long Range,74663,Pearl White Multi-coat,Black,27098,https://evauto.com/vehicle/used-2021-tesla-model-3-long-range-5yj3e1eb6mf066803/,09/09/2026,09/14/2026,5,5
7SAYGDEE1RA228310,T228310,2024,Tesla,Model Y,Long Range,29885,Gray,Black,39599,https://www.evauto.com/vehicle/used-2024-tesla-model-y-long-range-7saygdee1ra228310/,09/09/2026,Available,5,5
7SAXCDE56NF349970,L349970L,2022,Tesla,Model X,Awd,77954,Pearl White Multi-coat,Cream,46399,https://www.evauto.com/vehicle/used-2022-tesla-model-x-awd-7saxcde56nf349970/,09/09/2026,Available,5,5
7SAYGAEE0RF208700,L208700,2024,Tesla,Model Y,Long Range,75804,Ultra Red,Black,34989,https://www.evauto.com/vehicle/used-2024-tesla-model-y-long-range-7saygaee0rf208700/,09/09/2026,Available,5,5
7SAYGDED8TA606105,T606105,2026,Tesla,Model Y,Rwd,12498,Gray,Black,43399,https://www.evauto.com/vehicle/used-2026-tesla-model-y-rwd-7saygded8ta606105/,09/09/2026,Available,5,5
5YJYGDEE3MF191723,T191723,2021,Tesla,Model Y,Long Range,83281,Deep Blue Metallic,Black,30399,https://www.evauto.com/vehicle/used-2021-tesla-model-y-long-range-5yjygdee3mf191723/,09/09/2026,Available,5,5
7SAYGDEE6PF661167,L661167,2023,Tesla,Model Y,Long Range,37601,Pearl White Multi-coat,Black,35399,https://www.evauto.com/vehicle/used-2023-tesla-model-y-long-range-7saygdee6pf661167/,09/09/2026,Available,5,5
5YJ3E1EC6NF266767,L266767,2022,Tesla,Model 3,Performance,33959,Red Multi-coat,White,32898,https://evauto.com/vehicle/used-2022-tesla-model-3-performance-5yj3e1ec6nf266767/,09/09/2026,09/14/2026,5,5
7SAYGDEF4NF493132,B493132L,2022,Tesla,Model Y,Performance,42889,Deep Blue Metallic,Black,31489,https://www.evauto.com/vehicle/used-2022-tesla-model-y-performance-7saygdef4nf493132/,09/09/2026,Available,5,5
5YJ3E1EC1MF874341,L874341,2021,Tesla,Model 3,Performance,105649,Gray,Black,23999,https://www.evauto.com/vehicle/used-2021-tesla-model-3-performance-5yj3e1ec1mf874341/,09/09/2026,Available,5,5
5YJ3E1EC9PF632272,B632272,2023,Tesla,Model 3,Performance,40363,Gray,White,34489,https://www.evauto.com/vehicle/used-2023-tesla-model-3-performance-5yj3e1ec9pf632272/,09/09/2026,Available,5,5
7SAYGDEF0NF542813,B542813,2022,Tesla,Model Y,Performance,47874,Gray,Black,33189,https://www.evauto.com/vehicle/used-2022-tesla-model-y-performance-7saygdef0nf542813/,09/09/2026,Available,5,5
7SAYGDEF0NF561426,L561426,2022,Tesla,Model Y,Performance,62630,Gray,White,34489,https://www.evauto.com/vehicle/used-2022-tesla-model-y-performance-7saygdef0nf561426/,09/09/2026,Available,5,5
7SAYGDEE6PF690250,T690250,2023,Tesla,Model Y,Long Range,66410,Solid Black,Black,32999,https://evauto.com/vehicle/used-2023-tesla-model-y-long-range-7saygdee6pf690250/,09/09/2026,09/14/2026,5,5
7SAYGDEE5PA198581,B198581,2023,Tesla,Model Y,Long Range,45852,Pearl White Multi-coat,Black,35399,https://evauto.com/vehicle/used-2023-tesla-model-y-long-range-7saygdee5pa198581/,09/09/2026,09/14/2026,5,5
7SAYGDEFXPF708001,T708001,2023,Tesla,Model Y,Performance,62701,Solid Black,Black,32999,https://www.evauto.com/vehicle/used-2023-tesla-model-y-performance-7saygdefxpf708001/,09/09/2026,Available,5,5
