vin,stock_num,year,make,model,trim,odometer,color_exterior,color_interior,sale_price,url,first_date_seen,last_date_seen,days_in_stock,days_in_stock
7SAYGDEE6PA092611,T092611,2023,Tesla,Model Y,Long Range,50305,Pearl White Multi-coat,Black,34998,https://www.evauto.com/vehicle/used-2023-tesla-model-y-long-range-7saygdee6pa092611/,09/09/2026,Available,5,5
5YJ3E1EA2PF585620,T585620,2023,Tesla,Model 3,Rwd,24331,Pearl White Multi-coat,Black,30789,https://www.evauto.com/vehicle/used-2023-tesla-model-3-rwd-5yj3e1ea2pf585620/,09/09/2026,Available,5,5
7SAYGDEF4PF702419,B702419,2023,Tesla,Model Y,Performance,20851,Solid Black,Black,38498,https://www.evauto.com/vehicle/used-2023-tesla-model-y-performance-7saygdef4pf702419/,09/09/2026,Available,5,5
5YJ3E1EC3NF263017,L263017,2022,Tesla,Model 3,Performance,40921,Gray,Black,32098,https://evauto.com/vehicle/used-2022-tesla-model-3-performance-5yj3e1ec3nf263017/,09/09/2026,09/14/2026,5,5
5YJ3E1EC4PF410867,B410867,2023,Tesla,Model 3,Performance,43148,Solid Black,White,34489,https://www.evauto.com/vehicle/used-2023-tesla-model-3-performance-5yj3e1ec4pf410867/,09/09/2026,Available,5,5
7SAYGDEE8TA470020,B470020,2026,Tesla,Model Y,Long Range,10634,Gray,Black,50098,https://www.evauto.com/vehicle/used-2026-tesla-model-y-long-range-7saygdee8ta470020/,09/09/2026,Available,5,5
7SAYGDEE8PF877084,B877084,2023,Tesla,Model Y,Long Range,87264,Gray,Black,30399,https://www.evauto.com/vehicle/used-2023-tesla-model-y-long-range-7saygdee8pf877084/,09/09/2026,Available,5,5
7SAYGDEF6NF503286,B503286,2022,Tesla,Model Y,Performance,45028,Gray,Black,33999,https://www.evauto.com/vehicle/used-2022-tesla-model-y-performance-7saygdef6nf503286/,09/09/2026,Available,5,5
7SAYGDEE6RF181407,T181407,2024,Tesla,Model Y,Long Range,29377,Pearl White Multi-coat,Black,39098,https://www.evauto.com/vehicle/used-2024-tesla-model-y-long-range-7saygdee6rf181407/,09/09/2026,Available,5,5
5YJYGDEF1LF005555,L005555,2020,Tesla,Model Y,Long Range,119960,Pearl White Multi-coat,Black,22999,https://www.evauto.com/vehicle/used-2020-tesla-model-y-long-range-5yjygdef1lf005555/,09/09/2026,Available,5,5
7SAYGDEE7NF509346,L509346,2022,Tesla,Model Y,Long Range,55478,Solid Black,Black,32399,https://www.evauto.com/vehicle/used-2022-tesla-model-y-long-range-7saygdee7nf509346/,09/09/2026,Available,5,5
5YJ3E1EB3NF199357,L199357,2022,Tesla,Model 3,Long Range,54670,Deep Blue Metallic,Black,29399,https://www.evauto.com/vehicle/used-2022-tesla-model-3-long-range-5yj3e1eb3nf199357/,09/09/2026,Available,5,5
7G2CEHEEXRA029080,T029080,2024,Tesla,Cybertruck,Cyberbeast,21218,Stainless Steel,Black,92398,https://www.evauto.com/vehicle/used-2024-tesla-cybertruck-cyberbeast-7g2ceheexra029080/,09/09/2026,Available,5,5
5YJYGAEE4MF255878,B255878,2021,Tesla,Model Y,Long Range,78010,Pearl White Multi-coat,Black,28999,https://www.evauto.com/vehicle/used-2021-tesla-model-y-long-range-5yjygaee4mf255878/,09/09/2026,Available,5,5
7SAYGDEE4PF794185,L794185,2023,Tesla,Model Y,Long Range,65238,Pearl White Multi-coat,Black,32999,https://www.evauto.com/vehicle/used-2023-tesla-model-y-long-range-7saygdee4pf794185/,09/09/2026,Available,5,5
7SAYGDEEXRA265811,T265811,2024,Tesla,Model Y,Long Range,20735,Gray,White,40198,https://evauto.com/vehicle/used-2024-tesla-model-y-long-range-7saygdeexra265811/,09/09/2026,09/14/2026,5,5
5YJ3E1EB8LF663627,B663627,2020,Tesla,Model 3,Long Range,65612,Pearl White Multi-coat,Black,28399,https://evauto.com/vehicle/used-2020-tesla-model-3-long-range-5yj3e1eb8lf663627/,09/09/2026,09/14/2026,5,5
5YJ3E1EA2PF688570,L688570L,2023,Tesla,Model 3,Rwd,52235,Gray,Black,25498,https://www.evauto.com/vehicle/used-2023-tesla-model-3-rwd-5yj3e1ea2pf688570/,09/09/2026,Available,5,5
7SAYGDEE0PA080390,T080390,2023,Tesla,Model Y,Long Range,52059,Solid Black,Black,33999,https://www.evauto.com/vehicle/used-2023-tesla-model-y-long-range-7saygdee0pa080390/,09/14/2026,Available,0,0
5YJ3E1EB7NF144670,L144670,2022,Tesla,Model 3,Long Range,21937,Pearl White Multi-coat,White,31489,https://www.evauto.com/vehicle/used-2022-tesla-model-3-long-range-5yj3e1eb7nf144670/,09/14/2026,Available,0,0
7SAYGDEE4TF356843,T356843,2026,Tesla,Model Y,Long Range,32182,Ultra Red,Black,46598,https://www.evauto.com/vehicle/used-2026-tesla-model-y-long-range-7saygdee4tf356843/,09/14/2026,Available,0,0
5YJYGDEF5MF277897,L277897,2021,Tesla,Model Y,Performance,107926,Pearl White Multi-coat,Black,25489,https://www.evauto.com/vehicle/used-2021-tesla-model-y-performance-5yjygdef5mf277897/,09/14/2026,Available,0,0
7SAYGDEE1PF605878,L605878,2023,Tesla,Model Y,Long Range,119570,Gray,Black,26489,https://www.evauto.com/vehicle/used-2023-tesla-model-y-long-range-7saygdee1pf605878/,09/14/2026,Available,0,0
7SAYGDEE2PF662591,T662591,2023,Tesla,Model Y,Long Range,47401,Red Multi-coat,Black,34689,https://www.evauto.com/vehicle/used-2023-tesla-model-y-long-range-7saygdee2pf662591/,09/14/2026,Available,0,0
7SAYGDEE5RF071626,B071626,2024,Tesla,Model Y,Long Range,63020,Solid Black,Black,35999,https://www.evauto.com/vehicle/used-2024-tesla-model-y-long-range-7saygdee5rf071626/,09/14/2026,Available,0,0
5YJYGDEE2MF273961,B273961,2021,Tesla,Model Y,Long Range,72300,Pearl White Multi-coat,White,29749,https://www.evauto.com/vehicle/used-2021-tesla-model-y-long-range-5yjygdee2mf273961/,09/14/2026,Available,0,0
7SAYGDEF3PF762191,L762191,2023,Tesla,Model Y,Performance,37501,Pearl White Multi-coat,Black,37399,https://www.evauto.com/vehicle/used-2023-tesla-model-y-performance-7saygdef3pf762191/,09/14/2026,Available,0,0
7SAYGAEE2PF863003,B863003,2023,Tesla,Model Y,Long Range,93537,Gray,Black,29489,https://www.evauto.com/vehicle/used-2023-tesla-model-y-long-range-7saygaee2pf863003/,09/14/2026,Available,0,0
5YJYGAEE1MF180640,L180640,2021,Tesla,Model Y,Long Range,72318,Pearl White Multi-coat,Black,30289,https://www.evauto.com/vehicle/used-2021-tesla-model-y-long-range-5yjygaee1mf180640/,09/14/2026,Available,0,0
7SAYGDEF6NF309194,T309194,2022,Tesla,Model Y,Performance,62047,Pearl White Multi-coat,Black,33488,https://www.evauto.com/vehicle/used-2022-tesla-model-y-performance-7saygdef6nf309194/,09/14/2026,Available,0,0
5YJ3E1EAXPF436159,T436159,2023,Tesla,Model 3,Rwd,31151,Solid Black,Black,29489,https://www.evauto.com/vehicle/used-2023-tesla-model-3-rwd-5yj3e1eaxpf436159/,09/14/2026,Available,0,0
5YJ3E1EAXKF447557,L447557,2019,Tesla,Model 3,Standard Range Plus,74964,Solid Black,Black,22989,https://www.evauto.com/vehicle/used-2019-tesla-model-3-standard-range-plus-5yj3e1eaxkf447557/,09/14/2026,Available,0,0
7SAYGDEF0PF801433,T801433,2023,Tesla,Model Y,Performance,85611,Red Multi-coat,Black,31498,https://www.evauto.com/vehicle/used-2023-tesla-model-y-performance-7saygdef0pf801433/,09/14/2026,Available,0,0
5YJYGDEE3MF064275,T064275,2021,Tesla,Model Y,Long Range,51641,Pearl White Multi-coat,Black,32098,https://www.evauto.com/vehicle/used-2021-tesla-model-y-long-range-5yjygdee3mf064275/,09/14/2026,Available,0,0
5YJ3E1EB1KF487292,B487292,2019,Tesla,Model 3,Performance,81983,Pearl White Multi-coat,Black,23489,https://www.evauto.com/vehicle/used-2019-tesla-model-3-performance-5yj3e1eb1kf487292/,09/14/2026,Available,0,0
5YJYGDEE3LF037236,T037236,2020,Tesla,Model Y,Long Range,82772,Midnight Silver Metallic,Black,26798,https://www.evauto.com/vehicle/used-2020-tesla-model-y-long-range-5yjygdee3lf037236/,09/14/2026,Available,0,0
7SAYGDEEXRA288201,L288201,2024,Tesla,Model Y,Long Range,35988,Ultra Red,Black,38698,https://www.evauto.com/vehicle/used-2024-tesla-model-y-long-range-7saygdeexra288201/,09/14/2026,Available,0,0
7SAXCBE5XNF351807,L351807,2022,Tesla,Model X,Awd,61662,Pearl White Multi-coat,White/black,50489,https://www.evauto.com/vehicle/used-2022-tesla-model-x-awd-7saxcbe5xnf351807/,09/14/2026,Available,0,0
5YJ3E1EBXKF512383,L512383,2019,Tesla,Model 3,Long Range,114334,Blue,Black,21089,https://www.evauto.com/vehicle/used-2019-tesla-model-3-long-range-5yj3e1ebxkf512383/,09/14/2026,Available,0,0
