vin,stock_num,year,make,model,trim,drive,odometer,color_exterior,color_interior,sale_price,location_dealership,url,date_purchase,date_sold,days_in_stock
5YJXCBE29LF281510,LF281510,2020,Tesla,Model X,Long Range Dual Motor All-Wheel Drive | Long Range Plus Dual Motor All-Whee,AWD,83337,Midnight Silver Metallic,White/Black,29999,PMRAuto American Fork,https://pmrauto.com/vehicles/2020-tesla-model-x-4/,09-17-2026,,
5YJXCBE2XLF232042,LF232042,2020,Tesla,Model X,Long Range Dual Motor All-Wheel Drive | Long Range Plus Dual Motor All-Whee,AWD,117875,Red Multi-Coat,White,26999,PMRAuto American Fork,https://pmrauto.com/vehicles/2020-tesla-model-x/,09-17-2026,,
7SAYGDEE8PF948011,PF948011,2023,Tesla,Model Y,Long Range Dual Motor All-Wheel Drive | AWD,AWD,124979,Solid Black,Black,24999,PMRAuto American Fork,https://pmrauto.com/vehicles/2023-tesla-model-y-5/,09-17-2026,,
5YJXCDE24MF325345,MF325345,2021,Tesla,Model X,Long Range Plus Dual Motor All-Wheel Drive | Long Range Dual Motor All-Whee,AWD,73145,Pearl White Multi-Coat,Black,32999,PMRAuto American Fork,https://pmrauto.com/vehicles/2021-tesla-model-x/,09-17-2026,,
7SAYGDEE9NF573159,NF573159,2022,Tesla,Model Y,Long Range Dual Motor All-Wheel Drive,AWD,114975,Midnight Silver Metallic,Black,22999,PMRAuto American Fork,https://pmrauto.com/vehicles/2022-tesla-model-y/,09-17-2026,,
5YJ3E1EA4KF425859,KF425859,2019,Tesla,Model 3,Standard Range Plus,RWD,149927,Deep Blue Metallic,Black,13999,PMRAuto American Fork,https://pmrauto.com/vehicles/2019-tesla-model-3-2/,09-17-2026,,
7SAYGDEE9NF510319,NF510319,2022,Tesla,Model Y,Long Range Dual Motor All-Wheel Drive,,19520,Pearl White Multi-Coat,Black,27999,,https://pmrauto.com/vehicles/2022-tesla-model-y-2/,09-17-2026,2026-09-17,
7SAYGDEE5TF328937,TF328937,2026,Tesla,Model Y,Long Range Launch Series,AWD,46719,Pearl White Multi-Coat,Black,42999,PMRAuto American Fork,https://pmrauto.com/vehicles/2026-tesla-model-y/,09-17-2026,,
7SAYGAEE2RF084932,RF084932,2024,Tesla,Model Y,Long Range Dual Motor All-Wheel Drive,AWD,50069,Solid Black,Black,33999,PMRAuto American Fork,https://pmrauto.com/vehicles/2024-tesla-model-y/,09-17-2026,,
5YJXCBE25LF242011,LF242011,2020,Tesla,Model X,Long Range Dual Motor All-Wheel Drive,AWD,73398,Pearl White Multi-Coat,Black,32999,PMRAuto American Fork,https://pmrauto.com/vehicles/2020-tesla-model-x-2/,09-17-2026,,
